"initial_alias","converted_alias","name","description","namespace"
"126792","ENSG00000176022","B3GALT6","beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]","ENTREZGENE_ACC"
"388581","ENSG00000184163","C1QTNF12","C1q and TNF related 12 [Source:HGNC Symbol;Acc:HGNC:32308]","ENTREZGENE_ACC"
"118424","ENSG00000160087","UBE2J2","ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]","ENTREZGENE_ACC"
"101928895","None","None","None",""
"6339","ENSG00000162572","SCNN1D","sodium channel epithelial 1 subunit delta [Source:HGNC Symbol;Acc:HGNC:10601]","ENTREZGENE_ACC"
"116983","ENSG00000131584","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]","ENTREZGENE_ACC"
"102465434","ENSG00000278073","MIR6726","microRNA 6726 [Source:HGNC Symbol;Acc:HGNC:50009]","ENTREZGENE_ACC"
"109623456","None","None","None",""
"126789","ENSG00000169972","PUSL1","pseudouridine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26914]","ENTREZGENE_ACC"
"54973","ENSG00000127054","INTS11","integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052]","ENTREZGENE_ACC"
"102465435","ENSG00000283712","MIR6727","microRNA 6727 [Source:HGNC Symbol;Acc:HGNC:50171]","ENTREZGENE_ACC"
"80772","ENSG00000224051","CPTP","ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116]","ENTREZGENE_ACC"
"83756","ENSG00000169962","TAS1R3","taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]","ENTREZGENE_ACC"
"1855","ENSG00000107404","DVL1","dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]","ENTREZGENE_ACC"
"102466740","ENSG00000284372","MIR6808","microRNA 6808 [Source:HGNC Symbol;Acc:HGNC:50046]","ENTREZGENE_ACC"
"54587","ENSG00000162576","MXRA8","matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]","ENTREZGENE_ACC"
"54998","ENSG00000175756","AURKAIP1","aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]","ENTREZGENE_ACC"
"81669","ENSG00000221978","CCNL2","cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570]","ENTREZGENE_ACC"
"148413","ENSG00000224870","MRPL20-AS1","MRPL20 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27125]","ENTREZGENE_ACC"
"55052","ENSG00000242485","MRPL20","mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478]","ENTREZGENE_ACC"
"107984868","None","None","None",""
"441869","ENSG00000235098","ANKRD65","ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:HGNC:42950]","ENTREZGENE_ACC"
"105378585","None","None","None",""
"643965","ENSG00000205116","TMEM88B","transmembrane protein 88B [Source:HGNC Symbol;Acc:HGNC:37099]","ENTREZGENE_ACC"
"102724312","None","None","None",""
"107985729","None","None","None",""
"64856","ENSG00000179403","VWA1","von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]","ENTREZGENE_ACC"
"219293","ENSG00000215915","ATAD3C","ATPase family AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151]","ENTREZGENE_ACC"
"83858","ENSG00000160072","ATAD3B","ATPase family AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]","ENTREZGENE_ACC"
"55210","ENSG00000197785","ATAD3A","ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]","ENTREZGENE_ACC"
"339453","ENSG00000205090","TMEM240","transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186]","ENTREZGENE_ACC"
"29101","ENSG00000160075","SSU72","SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]","ENTREZGENE_ACC"
"643988","ENSG00000228594","FNDC10","fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951]","ENTREZGENE_ACC"
"105378586","None","None","None",""
"142678","ENSG00000197530","MIB2","MIB E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577]","ENTREZGENE_ACC"
"8510","ENSG00000189409","MMP23B","matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:HGNC:7171]","ENTREZGENE_ACC"
"984","ENSG00000248333","CDK11B","cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729]","ENTREZGENE_ACC"
"728661","ENSG00000189339","SLC35E2B","solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941]","ENTREZGENE_ACC"
"8511","None","None","None",""
"728642","ENSG00000008128","CDK11A","cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]","ENTREZGENE_ACC"
"9906","None","None","None",""
"112268218","None","None","None",""
"65220","ENSG00000008130","NADK","NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]","ENTREZGENE_ACC"
"2782","ENSG00000078369","GNB1","G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]","ENTREZGENE_ACC"
"105378949","ENSG00000231050","GNB1-DT","GNB1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55772]","ENTREZGENE_ACC"
"163688","ENSG00000169885","CALML6","calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]","ENTREZGENE_ACC"
"339456","ENSG00000178821","TMEM52","transmembrane protein 52 [Source:HGNC Symbol;Acc:HGNC:27916]","ENTREZGENE_ACC"
"85452","ENSG00000142609","CFAP74","cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368]","ENTREZGENE_ACC"
"107984872","None","None","None",""
"105378589","None","None","None",""
"2563","ENSG00000187730","GABRD","gamma-aminobutyric acid type A receptor subunit delta [Source:HGNC Symbol;Acc:HGNC:4084]","ENTREZGENE_ACC"
"105378590","None","None","None",""
"105378591","None","None","None",""
"5590","ENSG00000067606","PRKCZ","protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]","ENTREZGENE_ACC"
"100506504","ENSG00000182873","PRKCZ-AS1","PRKCZ antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40477]","ENTREZGENE_ACC"
"199990","ENSG00000162585","FAAP20","FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]","ENTREZGENE_ACC"
"112268219","None","None","None",""
"105378593","None","None","None",""
"6497","ENSG00000157933","SKI","SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]","ENTREZGENE_ACC"
"79906","ENSG00000116151","MORN1","MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]","ENTREZGENE_ACC"
"100129534","ENSG00000292993","None","novel transcript","ENTREZGENE_ACC"
"11079","ENSG00000157916","RER1","retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]","ENTREZGENE_ACC"
"5192","ENSG00000157911","PEX10","peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]","ENTREZGENE_ACC"
"9651","ENSG00000149527","PLCH2","phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]","ENTREZGENE_ACC"
"55229","ENSG00000157881","PANK4","pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366]","ENTREZGENE_ACC"
"388585","ENSG00000197921","HES5","hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]","ENTREZGENE_ACC"
"115110","None","None","None",""
"8764","ENSG00000157873","TNFRSF14","TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]","ENTREZGENE_ACC"
"100996583","None","None","None",""
"127281","ENSG00000157870","PRXL2B","peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]","ENTREZGENE_ACC"
"79258","ENSG00000142606","MMEL1","membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]","ENTREZGENE_ACC"
"105378597","None","None","None",""
"100287898","ENSG00000215912","TTC34","tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297]","ENTREZGENE_ACC"
"105378603","None","None","None",""
"105378602","None","None","None",""
"105378601","None","None","None",""
"112268220","None","None","None",""
"107985732","None","None","None",""
"105378600","None","None","None",""
"105378598","None","None","None",""
"107984904","None","None","None",""
"105378599","None","None","None",""
"140625","ENSG00000169717","ACTRT2","actin related protein T2 [Source:HGNC Symbol;Acc:HGNC:24026]","ENTREZGENE_ACC"
"440556","ENSG00000177133","PRDM16-DT","PRDM16 divergent transcript [Source:HGNC Symbol;Acc:HGNC:48664]","ENTREZGENE_ACC"
"63976","ENSG00000142611","PRDM16","PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]","ENTREZGENE_ACC"
"100422968","ENSG00000283572","MIR4251","microRNA 4251 [Source:HGNC Symbol;Acc:HGNC:38370]","ENTREZGENE_ACC"
"105378606","None","None","None",""
"107984909","None","None","None",""
"105378605","None","None","None",""
"105378604","None","None","None",""
"27237","ENSG00000130762","ARHGEF16","Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]","ENTREZGENE_ACC"
"1953","ENSG00000162591","MEGF6","multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]","ENTREZGENE_ACC"
"105378608","None","None","None",""
"693135","ENSG00000207776","MIR551A","microRNA 551a [Source:HGNC Symbol;Acc:HGNC:32806]","ENTREZGENE_ACC"
"105378607","None","None","None",""
"127262","ENSG00000158109","TPRG1L","tumor protein p63 regulated 1 like [Source:HGNC Symbol;Acc:HGNC:27007]","ENTREZGENE_ACC"
"49856","ENSG00000116213","WRAP73","WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]","ENTREZGENE_ACC"
"7161","ENSG00000078900","TP73","tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]","ENTREZGENE_ACC"
"105378610","None","None","None",""
"105378609","None","None","None",""
"57212","ENSG00000293478","TP73-AS1","TP73 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:29052]","ENTREZGENE_ACC"
"148870","ENSG00000162592","CCDC27","coiled-coil domain containing 27 [Source:HGNC Symbol;Acc:HGNC:26546]","ENTREZGENE_ACC"
"388588","ENSG00000235169","SMIM1","small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol;Acc:HGNC:44204]","ENTREZGENE_ACC"
"57470","ENSG00000130764","LRRC47","leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207]","ENTREZGENE_ACC"
"9731","ENSG00000116198","CEP104","centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]","ENTREZGENE_ACC"
"1677","ENSG00000169598","DFFB","DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]","ENTREZGENE_ACC"
"107984910","None","None","None",""
"339448","ENSG00000198912","C1orf174","chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915]","ENTREZGENE_ACC"
"100133612","ENSG00000236423","LINC01134","long intergenic non-protein coding RNA 1134 [Source:HGNC Symbol;Acc:HGNC:49449]","ENTREZGENE_ACC"
"728716","None","None","None",""
"105376672","ENSG00000226374","LINC01345","long intergenic non-protein coding RNA 1345 [Source:HGNC Symbol;Acc:HGNC:50564]","ENTREZGENE_ACC"
"105376673","None","None","None",""
"284661","ENSG00000235054","LINC01777","long intergenic non-protein coding RNA 1777 [Source:HGNC Symbol;Acc:HGNC:52567]","ENTREZGENE_ACC"
"105376674","None","None","None",""
"105376679","None","None","None",""
"107985376","None","None","None",""
"55966","ENSG00000196581","AJAP1","adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]","ENTREZGENE_ACC"
"105376680","ENSG00000284674","LINC02781","long intergenic non-protein coding RNA 2781 [Source:HGNC Symbol;Acc:HGNC:54301]","ENTREZGENE_ACC"
"102724429","None","None","None",""
"105376681","None","None","None",""
"105376682","None","None","None",""
"107984911","None","None","None",""
"105376686","None","None","None",""
"100616421","ENSG00000264101","MIR4689","microRNA 4689 [Source:HGNC Symbol;Acc:HGNC:41895]","ENTREZGENE_ACC"
"261734","ENSG00000131697","NPHP4","nephrocystin 4 [Source:HGNC Symbol;Acc:HGNC:19104]","ENTREZGENE_ACC"
"8514","ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]","ENTREZGENE_ACC"
"26038","ENSG00000116254","CHD5","chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]","ENTREZGENE_ACC"
"105376687","None","None","None",""
"6146","ENSG00000116251","RPL22","ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]","ENTREZGENE_ACC"
"107985733","None","None","None",""
"102724450","ENSG00000226944","RNF207-AS1","RNF207 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41286]","ENTREZGENE_ACC"
"388591","ENSG00000158286","RNF207","ring finger protein 207 [Source:HGNC Symbol;Acc:HGNC:32947]","ENTREZGENE_ACC"
"23463","ENSG00000116237","ICMT","isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:HGNC:5350]","ENTREZGENE_ACC"
"148645","None","None","None",""
"390992","ENSG00000173673","HES3","hes family bHLH transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:26226]","ENTREZGENE_ACC"
"387509","ENSG00000158292","GPR153","G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]","ENTREZGENE_ACC"
"11332","ENSG00000097021","ACOT7","acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]","ENTREZGENE_ACC"
"54626","ENSG00000069812","HES2","hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]","ENTREZGENE_ACC"
"83715","ENSG00000187017","ESPN","espin [Source:HGNC Symbol;Acc:HGNC:13281]","ENTREZGENE_ACC"
"100422975","ENSG00000265392","MIR4252","microRNA 4252 [Source:HGNC Symbol;Acc:HGNC:38384]","ENTREZGENE_ACC"
"8718","ENSG00000215788","TNFRSF25","TNF receptor superfamily member 25 [Source:HGNC Symbol;Acc:HGNC:11910]","ENTREZGENE_ACC"
"57449","ENSG00000171680","PLEKHG5","pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105]","ENTREZGENE_ACC"
"79707","ENSG00000162408","NOL9","nucleolar protein 9 [Source:HGNC Symbol;Acc:HGNC:26265]","ENTREZGENE_ACC"
"80835","ENSG00000173662","TAS1R1","taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448]","ENTREZGENE_ACC"
"107984912","None","None","None",""
"3104","ENSG00000204859","ZBTB48","zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:HGNC:4930]","ENTREZGENE_ACC"
"9903","ENSG00000162413","KLHL21","kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]","ENTREZGENE_ACC"
"107984913","None","None","None",""
"148479","ENSG00000116273","PHF13","PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983]","ENTREZGENE_ACC"
"90326","ENSG00000041988","THAP3","THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]","ENTREZGENE_ACC"
"55735","ENSG00000007923","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]","ENTREZGENE_ACC"
"100505887","None","None","None",""
"110841581","None","None","None",""
"23261","ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]","ENTREZGENE_ACC"
"105376692","None","None","None",""
"102725193","ENSG00000237728","CAMTA1-AS2","CAMTA1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40855]","ENTREZGENE_ACC"
"101928836","None","None","None",""
"105376691","None","None","None",""
"105376689","None","None","None",""
"9341","ENSG00000049245","VAMP3","vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]","ENTREZGENE_ACC"
"8863","ENSG00000049246","PER3","period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]","ENTREZGENE_ACC"
"10911","ENSG00000049247","UTS2","urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636]","ENTREZGENE_ACC"
"3604","ENSG00000049249","TNFRSF9","TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]","ENTREZGENE_ACC"
"11315","ENSG00000116288","PARK7","Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369]","ENTREZGENE_ACC"
"54206","ENSG00000116285","ERRFI1","ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]","ENTREZGENE_ACC"
"107984915","None","None","None",""
"102724539","ENSG00000227634","LINC01714","long intergenic non-protein coding RNA 1714 [Source:HGNC Symbol;Acc:HGNC:52501]","ENTREZGENE_ACC"
"105376695","None","None","None",""
"50651","ENSG00000162426","SLC45A1","solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939]","ENTREZGENE_ACC"
"473","ENSG00000142599","RERE","arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol;Acc:HGNC:9965]","ENTREZGENE_ACC"
"102724552","None","None","None",""
"106632271","None","None","None",""
"2023","ENSG00000074800","ENO1","enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]","ENTREZGENE_ACC"
"102465436","ENSG00000274258","MIR6728","microRNA 6728 [Source:HGNC Symbol;Acc:HGNC:49961]","ENTREZGENE_ACC"
"100505975","ENSG00000230679","ENO1-AS1","ENO1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40214]","ENTREZGENE_ACC"
"112268261","None","None","None",""
"765","ENSG00000131686","CA6","carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380]","ENTREZGENE_ACC"
"155184","ENSG00000197241","SLC2A7","solute carrier family 2 member 7 [Source:HGNC Symbol;Acc:HGNC:13445]","ENTREZGENE_ACC"
"6518","ENSG00000142583","SLC2A5","solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]","ENTREZGENE_ACC"
"80045","ENSG00000180758","GPR157","G protein-coupled receptor 157 [Source:HGNC Symbol;Acc:HGNC:23687]","ENTREZGENE_ACC"
"106614088","ENSG00000228526","MIR34AHG","MIR34A host gene [Source:HGNC Symbol;Acc:HGNC:51913]","ENTREZGENE_ACC"
"407040","ENSG00000284357","MIR34A","microRNA 34a [Source:HGNC Symbol;Acc:HGNC:31635]","ENTREZGENE_ACC"
"102724571","ENSG00000234546","LNCTAM34A","long non coding transcriptional activator of miR34a [Source:HGNC Symbol;Acc:HGNC:52548]","ENTREZGENE_ACC"
"9563","ENSG00000049239","H6PD","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]","ENTREZGENE_ACC"
"80176","ENSG00000171621","SPSB1","splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]","ENTREZGENE_ACC"
"100506022","ENSG00000284693","LINC02606","long intergenic non-protein coding RNA 2606 [Source:HGNC Symbol;Acc:HGNC:54047]","ENTREZGENE_ACC"
"84275","ENSG00000171612","SLC25A33","solute carrier family 25 member 33 [Source:HGNC Symbol;Acc:HGNC:29681]","ENTREZGENE_ACC"
"199953","ENSG00000188807","TMEM201","transmembrane protein 201 [Source:HGNC Symbol;Acc:HGNC:33719]","ENTREZGENE_ACC"
"107985734","None","None","None",""
"105376712","None","None","None",""
"5293","ENSG00000171608","PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]","ENTREZGENE_ACC"
"644997","ENSG00000179840","PIK3CD-AS1","PIK3CD antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:32346]","ENTREZGENE_ACC"
"101929074","ENSG00000231789","PIK3CD-AS2","PIK3CD antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:51334]","ENTREZGENE_ACC"
"22883","ENSG00000171603","CLSTN1","calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]","ENTREZGENE_ACC"
"56998","ENSG00000178585","CTNNBIP1","catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913]","ENTREZGENE_ACC"
"105376717","None","None","None",""
"84328","ENSG00000162441","LZIC","leucine zipper and CTNNBIP1 domain containing [Source:HGNC Symbol;Acc:HGNC:17497]","ENTREZGENE_ACC"
"64802","ENSG00000173614","NMNAT1","nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877]","ENTREZGENE_ACC"
"113391335","ENSG00000283611","TMEM274P","transmembrane protein 274, pseudogene [Source:HGNC Symbol;Acc:HGNC:53732]","ENTREZGENE_ACC"
"100847055","ENSG00000265521","MIR5697","microRNA 5697 [Source:HGNC Symbol;Acc:HGNC:43509]","ENTREZGENE_ACC"
"116362","ENSG00000162444","RBP7","retinol binding protein 7 [Source:HGNC Symbol;Acc:HGNC:30316]","ENTREZGENE_ACC"
"10277","ENSG00000130939","UBE4B","ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500]","ENTREZGENE_ACC"
"23095","ENSG00000054523","KIF1B","kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]","ENTREZGENE_ACC"
"105376725","None","None","None",""
"5226","ENSG00000142657","PGD","phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]","ENTREZGENE_ACC"
"100526739","ENSG00000251503","CENPS-CORT","CENPS-CORT readthrough [Source:HGNC Symbol;Acc:HGNC:38843]","ENTREZGENE_ACC"
"378708","ENSG00000175279","CENPS","centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163]","ENTREZGENE_ACC"
